Data;pib
jul/24;1.018.642,60
ago/24;1.003.839,50
set/24;993.453,80
out/24;1.045.302,10
nov/24;1.019.260,50
dez/24;999.160,60
jan/25;958.037,70
fev/25;994.436,60
mar/25;1.072.248,60
abr/25;1.087.566,10
mai/25;1.062.656,90
jun/25;1.050.122,00
jul/25;1.095.262,00
ago/25;1.066.136,70
set/25;1.074.308,90
out/25;1.103.439,20
nov/25;1.083.392,10
dez/25;1.085.968,90
